CodigoPrestador,NombrePrestador,TipoIdentificacion,NumeroIdentificacion,NaturalezaJuridica,ESE,DepartamentoPrestador,MunicipioPrestador,DireccionPrestador,EmailPrestador,TelefonoPrestador,FechaCorte,municipios_count,sedes_count,id_entidad,razon_social,codigo_postal,pagina_web,ambito_SIIF
0500100012,INSTITUTO DEL CORAZON S.A.S,NI,800107179,Privada,NO,Antioquia,05001,CIRCULAR 73 # 39 - 37,calidad@institutodelcorazon.org.co,3207242 ext 129,Fecha corte REPS: Jul 4 2023 1:19PM,6,9,,,,,
0500100252,UROCLIN S.A.S,NI,811023675,Privada,NO,Antioquia,05001,CL 7 # 39 - 197 CS 1804,admin@uroclin.com.co,3262727,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500100297,LABORATORIO CLINICO COLMEDICOS IPS S.A.S - COLMEDICOS S.A.S,NI,800049104,Privada,NO,Antioquia,05001,CL 50 # 46-36 PI 14,CALIDAD@COLMEDICOS.COM,3124727002 - 3102172318 - 3105041453 - 3229652517,Fecha corte REPS: Jul 4 2023 1:19PM,3,7,,,,,
0500100302,EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.,NI,811007601,Privada,NO,Antioquia,05001,KR 48 # 14 - 49,lina.gomez@grupoemi.com,6044444364 - 3183597863,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500100359,ZG SALUD ORAL SAS,NI,811033356,Privada,NO,Antioquia,05001,DG 50 # 49-14 CS 303 - Barrio:CENTRO,gerencia@dientessanosmedellin.com,5745114975,Fecha corte REPS: Jul 4 2023 1:19PM,4,5,,,,,
0500100496,REUMATOLOGYA S A,NI,800200150,Privada,NO,Antioquia,05001,KR 43 A 14-109 IN 203,gerencia@reumatologya.com.co,604 4481527 y 3113841214,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500100546,LABORATORIO CLINICO HEMATOLOGICO S.A.S,NI,890942832,Privada,NO,Antioquia,05001,CRA 43C # 5 - 33,amontoya@hematologico.com,2955555,Fecha corte REPS: Jul 4 2023 1:19PM,2,4,,,,,
0500101150,FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA,NI,890981374,Privada,NO,Antioquia,05001,CL 55 # 46-36,direccion@neurologico.org.co,5745766666,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500101188,CLINICA DE OTORRINOLARINGOLOGIA DE ANTIOQUIA S.A-ORLANT S.A,NI,800024834,Privada,NO,Antioquia,05001,CALLE 34 N° 63A-30,gestiondocumental@clinicaorlant.com,6042658584 ext 169,Fecha corte REPS: Jul 4 2023 1:19PM,2,5,,,,,
0500101198,PRO-DIAGNOSTICO S.A.,NI,800250192,Privada,NO,Antioquia,05001,CARRERA 48 # 7 - 142  - Barrio:LAS VEGAS,comunicaciones@prodiagnostico.com.co,4443231,Fecha corte REPS: Jul 4 2023 1:19PM,2,4,,,,,
0500101258,FUNDACION PARA LA INVESTIGACION Y DESARROLLO DE LA MEDICINA TRADICIONAL NEIJING,NI,811007810,Privada,NO,Antioquia,05001,CL 49 DD# 81 C 62,contacto@fundacionneijing.org,4211000,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500101294,SERVICIOS MEDICOS SAN IGNACIO S.A.S,NI,890933726,Privada,NO,Antioquia,05001,CARRERA 44 N° 48-51,gerencia@smsi.com.co,2161144,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500101441,INSTITUTO GASTROCLINICO S.A.S.,NI,800203877,Privada,NO,Antioquia,05001,CARRERA 46 N° 2 SUR 45- 158,administracion@gastroclinico.com.co,4446600,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101443,MEDICINA 2000 S.A.S.,NI,800152349,Privada,NO,Antioquia,05001,KR 46 # 50 - 28 CS 401 ED LA PALENCIA,medicina2000@une.net.co,2510606,Fecha corte REPS: Jul 4 2023 1:19PM,2,3,,,,,
0500101498,CLINICA DE OFTALMOLOGIA SANDIEGO S.A,NI,800051998,Privada,NO,Antioquia,05001,CRA 43 # 29 - 35,jefe.calidad@clinicasandiego.com.co,2626363,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101504,CENTRO DE ORTOPEDIA EL POBLADO S.A.S.,NI,890936927,Privada,NO,Antioquia,05001,CARRERA 41 N° 9-05,cenortopedia@une.net.co,6045209120,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101515,CERO 70 S.A.S.,NI,811031311,Privada,NO,Antioquia,05001,CL 2 SUR # 46-55 LC 052,experiencialcliente@cero70.com,4486070 Ext 116,Fecha corte REPS: Jul 4 2023 1:19PM,5,10,,,,,
0500101533,CENTRO MEDICO NUEVA VIDA S.A.S,NI,811011241,Privada,NO,Antioquia,05001,DIAGONAL 85 N° 79C - 38,info@ipsnuevavida.com,4419292,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101539,INSTITUTO DEL TORAX S.A.S,NI,890903056,Privada,NO,Antioquia,05001,CALLE 57 N° 50A - 37,torax@une.net.co,5121670,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101615,ORGANIZACION SANTA LUCIA S A,NI,890900650,Privada,NO,Antioquia,05001,KR 43 A #14 -72,opticasantalucia@osl.com.co,5742663661,Fecha corte REPS: Jul 4 2023 1:19PM,7,38,,,,,
0500101621,RAMIRO CORREA RESTREPO S.A.S.,NI,800019606,Privada,NO,Antioquia,05001,CL 53 # 46 - 38 CS 102,administracion@ramirocorrea.co,5745127305,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500101651,CENTRO MEDICO Y ODONTOLOGICO ORALSER S.A.,NI,800130027,Privada,NO,Antioquia,05001,CL 59 # 50 A 66 CUBA CON POPAYAN,oralser@une.net.co,4445138,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101885,LABORATORIO DE PATOLOGIA Y CITOLOGIA LIMITADA LAPACI,NI,800034377,Privada,NO,Antioquia,05001,CALLE 51 N° 43-47 EDIFICIO GUALANDAY 1 PISO,laboratorio.lapaci@gmail.com,2398775,Fecha corte REPS: Jul 4 2023 1:19PM,1,4,,,,,
0500101925,CORPORACION PARA INVESTIGACIONES BIOLOGICAS CIB,NI,890908790,Privada,NO,Antioquia,05001,KR 72 A #78 B 141,coordinacionsig@cib.org.co,6051808,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500101997,ENRIQUE PRADA W. S.A.S.,NI,800101026,Privada,NO,Antioquia,05001,KR 46 # 54 - 14 ED COMEDAL OF 706,epwcomedal@une.net.co,5742515804,Fecha corte REPS: Jul 4 2023 1:19PM,3,4,,,,,
0500102036,CENTRO ODONTOLOGICO DE ESPECIALISTAS BRASILIA S.A.S.,NI,811014918,Privada,NO,Antioquia,05001,Carrera 66 B No. 34 A 76 LCL 364 - Barrio:CONQUISTADORES,dualdentunicentro@gmail.com,3147935703,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102092,COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN,NI,890905843,Privada,NO,Antioquia,05001,KR 20 # 2 SUR 185,clinicaelrosario@clinicaelrosario.com,5743269100,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102101,SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA,NI,890903777,Privada,NO,Antioquia,05001,CALLE 51 N° 45-93,secredireccion@soma.com.co,5768400,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102104,HOSPITAL PABLO TOBON URIBE,NI,890901826,Privada,NO,Antioquia,05001,CALLE 78B N° 69-240,hptu@hptu.org.co,4459000,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102110,CLINICA CARDIO VID,NI,811046900,Privada,NO,Antioquia,05001,CALLE 78B N° 75-21,secdirgral@vid.org.co,3227090,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102111,FUNDACION ORGANIZACIÓN VID,NI,890983994,Privada,NO,Antioquia,05001,CL 52 # 40-146,fundacion@vid.org.co,5743225530,Fecha corte REPS: Jul 4 2023 1:19PM,5,23,,,,,
0500102118,CLINICA OFTALMOLOGICA DE ANTIOQUIA S.A.S,NI,890933408,Privada,NO,Antioquia,05001,KR 48 # 19A - 40 PS 11,gerencia@clofan.com,4440090,Fecha corte REPS: Jul 4 2023 1:19PM,2,2,,,,,
0500102120,INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS,NI,800044402,Privada,NO,Antioquia,05001,CALLE 2 SUR N° 46-55,clinicalasvegas@clinicalasvegas.com,3159000,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102124,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,NI,890982608,Privada,NO,Antioquia,05001,CL  58 # 50C - 02,andrestrujillo@clinicaces.edu.co,5745767272,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
0500102126,PROMOTORA MEDICA LAS AMERICAS S.A,NI,800067065,Privada,NO,Antioquia,05001,DIAGONAL 75B N° 2A-80,dircalidad@lasamericas.com.co,3421010 Ext 1479,Fecha corte REPS: Jul 4 2023 1:19PM,3,9,,,,,
0500102144,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",NI,890904646,Pública,SI,Antioquia,05001,Cra. 48 No.32-102  Medellin - Antioquia - Colombia,gestioncalidad@hgm.gov.co,(094)3847302,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,223305001,E.S.E. Hospital General de Medellín,50015,http://www.hgm.gov.co,No
0500102160,UNIDAD GASTROENTEROLOGICA S.A.S,NI,800193406,Privada,NO,Antioquia,05001,DIAGONAL 75 B # 2A -120 LOCAL 133,ugasa@epm.net.co,4082170,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102163,CLINICA OFTALMOLOGICA LAURELES SA CLODEL SA,NI,800036229,Privada,NO,Antioquia,05001,Transversal 74 # CIRCULAR 1-19 BARRIO LAURELES,clodel@clodel.com.co,4441366,Fecha corte REPS: Jul 4 2023 1:19PM,1,2,,,,,
0500102172,CLINICA MEDELLIN S.A.S.,NI,890911816,Privada,NO,Antioquia,05001,Kr 65B #30-95 - Barrio:Belén Fátima,calidad@clinicamedellin.com,4446152,Fecha corte REPS: Jul 4 2023 1:19PM,1,3,,,,,
0500102175,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,NI,890900518,Privada,NO,Antioquia,05001,CALLE 64 CON CARRERA 51 D,notificacionesgerenciajuridica@sanvicentefundacion.com,4441333,Fecha corte REPS: Jul 4 2023 1:19PM,1,1,,,,,
0500102178,EMPRESA SOCIAL DEL ESTADO METROSALUD,NI,800058016,Pública,SI,Antioquia,05001,KR 50 # 44-27 ED SACATIN,gerencia@metrosalud.gov.co,5745117505,Fecha corte REPS: Jul 4 2023 1:19PM,1,54,222705001,E.S.E. Metrosalud,50012,http://www.metrosalud.gov.co,No
